2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150,2160,2170,2180,2190,2200
0,129.21,265.55,441.8,632.39,872.12,1142.2,1447.8,1809.2,2207.8,2626.2,2754.2,3182.5,3668.1,4175.8,4649.6,5154.7,5715,6275.4,6820.5,7457.2
0,129.4,265.94,442.39,633.17,873.09,1143.3,1449.2,1810.8,2209.5,2628.1,2756.3,3184.9,3670.6,4178.5,4652.6,5157.8,5718.3,6278.9,6824.2,7461.1
0,129.59,266.32,442.96,633.93,874.05,1144.5,1450.5,1812.3,2211.2,2630.1,2758.4,3187.2,3673.1,4181.2,4655.4,5160.9,5721.6,6282.4,6827.8,7464.9
0,129.78,266.7,443.53,634.7,875.01,1145.6,1451.9,1813.8,2213,2632,2760.5,3189.5,3675.6,4183.9,4658.3,5164,5724.8,6285.8,6831.5,7468.7
0,129.98,267.09,444.12,635.48,875.98,1146.8,1453.2,1815.4,2214.7,2633.9,2762.7,3191.8,3678.1,4186.6,4661.2,5167.1,5728.2,6289.3,6835.2,7472.6
0,130.18,267.5,444.73,636.29,877,1148,1454.6,1817,2216.6,2635.9,2764.9,3194.2,3680.8,4189.4,4664.3,5170.3,5731.6,6293,6839,7476.7
0,130.4,267.93,445.38,637.16,878.08,1149.3,1456.2,1818.8,2218.5,2638.1,2767.3,3196.8,3683.6,4192.5,4667.5,5173.8,5735.3,6296.9,6843.2,7481.1
0,130.64,268.41,446.1,638.12,879.28,1150.8,1457.8,1820.7,2220.7,2640.5,2769.9,3199.7,3686.7,4195.8,4671.1,5177.6,5739.4,6301.2,6847.7,7485.8
0,130.91,268.97,446.93,639.23,880.67,1152.4,1459.8,1822.9,2223.2,2643.3,2773,3203,3690.3,4199.7,4675.3,5182.1,5744.1,6306.2,6853,7491.4
0,131.26,269.66,447.97,640.61,882.4,1154.5,1462.2,1825.7,2226.3,2646.8,2776.8,3207.2,3694.8,4204.6,4680.5,5187.6,5750,6312.4,6859.6,7498.3
0,131.77,270.68,449.5,642.65,884.95,1157.6,1465.8,1829.8,2230.9,2651.8,2782.4,3213.3,3701.5,4211.7,4688.1,5195.8,5758.6,6321.6,6869.2,7508.5
0,133.69,276.21,470.05,678.6,943.23,1244.5,1589.9,2004.2,2463.4,2957.5,3051.8,3547.9,4121.6,4731.3,5295.8,5898.5,6570.2,7239.4,7889.4,8649.6
0,134.2,277.23,471.58,680.64,945.78,1247.6,1593.5,2008.3,2468,2962.6,3057.4,3554,4128.2,4738.4,5303.5,5906.6,6578.8,7248.6,7899.1,8659.8
0,134.55,277.92,472.62,682.02,947.51,1249.7,1595.9,2011.1,2471.1,2966,3061.2,3558.2,4132.7,4743.2,5308.7,5912.2,6584.7,7254.8,7905.7,8666.7
0,134.82,278.48,473.45,683.13,948.9,1251.3,1597.9,2013.3,2473.6,2968.8,3064.3,3561.5,4136.3,4747.1,5312.8,5916.6,6589.4,7259.8,7910.9,8672.2
0,135.06,278.96,474.17,684.09,950.09,1252.8,1599.6,2015.2,2475.8,2971.2,3066.9,3564.4,4139.4,4750.5,5316.4,5920.5,6593.5,7264.1,7915.5,8677
0,135.28,279.39,474.82,684.96,951.18,1254.1,1601.1,2016.9,2477.7,2973.4,3069.3,3567,4142.3,4753.5,5319.7,5923.9,6597.2,7268.1,7919.6,8681.4
0,135.48,279.8,475.43,685.77,952.2,1255.3,1602.5,2018.6,2479.5,2975.4,3071.5,3569.4,4144.9,4756.4,5322.7,5927.2,6600.7,7271.7,7923.5,8685.4
0,135.68,280.19,476.02,686.55,953.17,1256.5,1603.9,2020.1,2481.3,2977.4,3073.7,3571.8,4147.4,4759.1,5325.6,5930.3,6604,7275.2,7927.2,8689.3
0,135.87,280.57,476.59,687.32,954.13,1257.6,1605.2,2021.6,2483,2979.3,3075.8,3574.1,4149.9,4761.8,5328.5,5933.4,6607.2,7278.7,7930.8,8693.2
